time,knee_angle_r,knee_angle_l,ankle_angle_r,ankle_angle_l,hip_flexion_r,hip_flexion_l,,,,,,,,,,,,,
0.36,-0.83862212,-0.56564247,-0.017185458,0.121461314,0.99347501,-0.878562167,,,,,,,,,,,,,
0.38,-0.741856524,-0.569608302,-0.00769389,0.116144876,0.673922952,-0.75244907,,,,,,,,,,,,,
0.4,-0.664094899,-0.581683601,-0.000396834,0.107354016,0.488268325,-0.623693127,,,,,,,,,,,,,
0.42,-0.610125734,-0.602931212,-0.003799796,0.095101521,0.356764789,-0.502040472,,,,,,,,,,,,,
0.44,-0.5827074,-0.635828766,-0.014241676,0.079110055,0.214254607,-0.396370808,,,,,,,,,,,,,
0.46,-0.582827925,-0.682883585,-0.025173877,0.05931737,-0.031007378,-0.136341064,,,,,,,,,,,,,
0.48,-0.606360301,-0.745137264,-0.029852078,0.037062607,-0.50088071,0.419281399,,,,,,,,,,,,,
0.5,-0.645298391,-0.822102717,-0.025957154,0.013418148,-0.976604103,0.939224026,,,,,,,,,,,,,
0.52,-0.684698759,-0.911680941,-0.021603991,-0.010391715,-1.089980775,1.204794965,,,,,,,,,,,,,
0.54,-0.712620744,-1.010620349,-0.021727023,-0.031861856,-1.163551461,1.553201388,,,,,,,,,,,,,
0.56,-0.731602736,-1.109997994,-0.019558448,-0.048743126,-1.674525759,2.231194094,,,,,,,,,,,,,
0.58,-0.745515639,-1.199807965,-0.010596683,-0.06073721,-2.150188517,2.711619474,,,,,,,,,,,,,
0.6,-0.751521955,-1.274082508,-0.001199962,-0.069239728,-1.968464744,2.594624402,,,,,,,,,,,,,
0.62,-0.747239819,-1.328667425,0.004613668,-0.073793955,-1.62966636,2.404780866,,,,,,,,,,,,,
0.64,-0.737333218,-1.356965145,0.01281647,-0.073452427,-1.747826626,2.528688224,,,,,,,,,,,,,
0.66,-0.726339984,-1.35348848,0.027130754,-0.070821975,-1.894371286,2.552173575,,,,,,,,,,,,,
0.68,-0.711957097,-1.324021329,0.04280982,-0.073151576,-1.581723384,2.163679938,,,,,,,,,,,,,
0.7,-0.692511675,-1.275316414,0.056247518,-0.083876143,-1.201805237,1.771332049,,,,,,,,,,,,,
0.72,-0.675626589,-1.205857438,0.066848988,-0.092262298,-1.23600982,1.635653811,,,,,,,,,,,,,
0.74,-0.667453237,-1.114128434,0.072229466,-0.089509231,-1.363904132,1.5137091,,,,,,,,,,,,,
0.76,-0.659986074,-1.00741819,0.070338121,-0.086850711,-1.167906157,1.311056725,,,,,,,,,,,,,
0.78,-0.646531374,-0.894694448,0.063029691,-0.095340085,-0.967277076,1.067323659,,,,,,,,,,,,,
0.8,-0.637031804,-0.784885999,0.055465956,-0.099457298,-1.111485361,0.849251134,,,,,,,,,,,,,
0.82,-0.64095778,-0.68865888,0.049172676,-0.08189333,-1.241103383,0.65071341,,,,,,,,,,,,,
0.84,-0.653070296,-0.616181019,0.040754307,-0.059919917,-0.967159485,0.358806636,,,,,,,,,,,,,
0.86,-0.6685168,-0.574040607,0.028863707,-0.055542052,-0.623253077,0.150923428,,,,,,,,,,,,,
0.88,-0.694265589,-0.559881184,0.01440021,-0.065405283,-0.642061755,0.164194097,,,,,,,,,,,,,
0.9,-0.73723101,-0.569963769,-0.002532214,-0.078879469,-0.629754537,0.0973226,,,,,,,,,,,,,
0.92,-0.795180628,-0.603221694,-0.021612645,-0.083543995,-0.139494092,-0.341625476,,,,,,,,,,,,,
0.94,-0.86488424,-0.654489905,-0.041779982,-0.074281105,0.488082506,-0.855584467,,,,,,,,,,,,,
0.96,-0.947971377,-0.704553682,-0.06062218,-0.067008718,0.954977,-0.99102319,,,,,,,,,,,,,
0.98,-1.044031498,-0.737725279,-0.076293095,-0.072552867,1.380502607,-1.032754367,,,,,,,,,,,,,
1,-1.141776731,-0.758963548,-0.088434416,-0.07760511,1.840333738,-1.435224697,,,,,,,,,,,,,
1.02,-1.229307986,-0.774845978,-0.095645576,-0.071512815,2.208497148,-1.898081794,,,,,,,,,,,,,
1.04,-1.29923584,-0.783143207,-0.097289316,-0.064860779,2.427362833,-1.98722853,,,,,,,,,,,,,
1.06,-1.345396172,-0.78189482,-0.094972608,-0.066857729,2.484468563,-1.885457561,,,,,,,,,,,,,
1.08,-1.364384354,-0.774378286,-0.091396071,-0.070254065,2.300812419,-1.86469769,,,,,,,,,,,,,
1.1,-1.354652825,-0.763264871,-0.087427345,-0.067280359,2.015957286,-1.848540015,,,,,,,,,,,,,
1.12,-1.316567973,-0.747182547,-0.080440065,-0.056670041,1.755394633,-1.753328207,,,,,,,,,,,,,
1.14,-1.250949546,-0.725501477,-0.070106081,-0.03879501,1.548132775,-1.630805494,,,,,,,,,,,,,
1.16,-1.161828279,-0.703077847,-0.064274062,-0.017444655,1.426731217,-1.558892706,,,,,,,,,,,,,
1.18,-1.055073263,-0.684641855,-0.069070555,0.001556137,1.227599092,-1.461179675,,,,,,,,,,,,,
1.2,-0.94168366,-0.669918949,-0.07512576,0.0092611,0.901745937,-1.189484252,,,,,,,,,,,,,
1.22,-0.833546392,-0.658252426,-0.073117057,0.001690573,0.694481517,-1.05445802,,,,,,,,,,,,,
1.24,-0.737714889,-0.65076748,-0.070772775,-0.005871445,0.770671913,-1.411564052,,,,,,,,,,,,,
1.26,-0.660225409,-0.648830251,-0.073674895,-0.001353756,0.765618521,-1.688060478,,,,,,,,,,,,,
1.28,-0.604567753,-0.655090838,-0.071772908,0.001498688,0.296315073,-1.253803376,,,,,,,,,,,,,
1.3,-0.572038766,-0.672528889,-0.058037126,-0.010678308,-0.159341934,-0.65416964,,,,,,,,,,,,,
1.32,-0.563733321,-0.701947809,-0.040875746,-0.02942017,-0.178466205,-0.545415836,,,,,,,,,,,,,
1.34,-0.579336744,-0.743817584,-0.029464661,-0.044233316,-0.126491465,-0.524193198,,,,,,,,,,,,,
1.36,-0.611136674,-0.800240048,-0.023585502,-0.057164759,-0.321665551,-0.127774328,,,,,,,,,,,,,
1.38,-0.649971409,-0.872394744,-0.020412489,-0.072281672,-0.648522098,0.426510866,,,,,,,,,,,,,
1.4,-0.689656381,-0.957173741,-0.01577843,-0.086692419,-0.982071623,0.905683795,,,,,,,,,,,,,
1.42,-0.72497851,-1.049460722,-0.006901867,-0.096244217,-1.258899037,1.306777001,,,,,,,,,,,,,
1.44,-0.750699276,-1.14144441,0.001027983,-0.100631278,-1.407736046,1.661915194,,,,,,,,,,,,,
1.46,-0.763558461,-1.225153654,0.003050459,-0.100405192,-1.537486098,1.979396573,,,,,,,,,,,,,
1.48,-0.766987829,-1.292700531,0.001260052,-0.096253017,-1.793109124,2.234088464,,,,,,,,,,,,,
1.5,-0.764876265,-1.337571045,-0.001835829,-0.088763355,-1.988387086,2.287980917,,,,,,,,,,,,,
1.52,-0.758057638,-1.357879868,-0.004883638,-0.07888661,-1.860423507,2.065486601,,,,,,,,,,,,,
1.54,-0.747306153,-1.352762872,-0.006420149,-0.06812723,-1.618376249,1.774483368,,,,,,,,,,,,,
1.56,-0.734477589,-1.321645505,-0.007444134,-0.057389046,-1.552402531,1.545407031,,,,,,,,,,,,,
1.58,-0.720938479,-1.264696826,-0.008404569,-0.047032982,-1.523304053,1.324092341,,,,,,,,,,,,,
1.6,-0.706423916,-1.184666048,-0.001925239,-0.036826509,-1.364620029,1.088993348,,,,,,,,,,,,,
1.62,-0.690969613,-1.085093694,0.017660588,-0.027206654,-1.214449585,0.87037969,,,,,,,,,,,,,
1.64,-0.677173553,-0.973453272,0.038916771,-0.018518574,-1.205943239,0.732137433,,,,,,,,,,,,,
1.66,-0.667465195,-0.859094851,0.048985937,-0.010286406,-1.210319296,0.596424223,,,,,,,,,,,,,
1.68,-0.660892368,-0.751924931,0.048138364,-0.002294412,-1.051720331,0.432270431,,,,,,,,,,,,,
1.7,-0.657322677,-0.661954826,0.040050739,0.005441177,-0.912741925,0.29318419,,,,,,,,,,,,,
1.72,-0.662027424,-0.596688223,0.026758776,0.011615603,-1.015595818,0.163425577,,,,,,,,,,,,,
1.74,-0.679827737,-0.561473092,0.009219711,0.016248749,-1.027042231,0.020624456,,,,,,,,,,,,,
1.76,-0.71030837,-0.555036977,-0.011070795,0.02039925,-0.631375889,-0.232281594,,,,,,,,,,,,,
1.78,-0.752909798,-0.572065317,-0.032415288,0.022934649,-0.113746609,-0.506784211,,,,,,,,,,,,,
1.8,-0.809756044,-0.603012809,-0.054911075,0.024763272,0.213791725,-0.664015285,,,,,,,,,,,,,
1.82,-0.88231727,-0.638399525,-0.078280791,0.027877365,0.545211675,-0.841601901,,,,,,,,,,,,,
1.84,-0.968506041,-0.671688487,-0.100032941,0.032269337,1.109212097,-1.164086243,,,,,,,,,,,,,
1.86,-1.063780456,-0.698052268,-0.118676956,0.038014831,1.683845799,-1.488125763,,,,,,,,,,,,,
1.88,-1.15935187,-0.715161211,-0.133733361,0.044842808,2.061989295,-1.675262033,,,,,,,,,,,,,
1.9,-1.246771828,-0.72202565,-0.143587447,0.052002529,2.299164364,-1.790582003,,,,,,,,,,,,,
1.92,-1.318985943,-0.721180592,-0.148802156,0.058825918,2.45961343,-1.879931873,,,,,,,,,,,,,
1.94,-1.369902687,-0.716402021,-0.15117381,0.064759545,2.527497676,-1.914086148,,,,,,,,,,,,,
1.96,-1.397378995,-0.712209622,-0.151223652,0.06936552,2.461295484,-1.885350404,,,,,,,,,,,,,
1.98,-1.402466442,-0.712218107,-0.150268917,0.072340093,2.00876987,-1.604428348,,,,,,,,,,,,,
2,-1.396370024,-0.715931023,-0.149625359,0.073453028,0.999144871,-0.844971872,,,,,,,,,,,,,
